Key,Choice,Question,Alternative,Rail,Teton,Dirt,Gravel,Paved,Dist,Cost,gender,age_group,age,educ,res,emp,marr,house,house_inc,ID
152,0,5,2,0,1,0,1,0,1.06,57,1,1,21,3,2,1,2,1,1,8
153,0,5,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
161,0,6,1,1,0,0,0,1,0.49,167,1,1,21,3,2,1,2,1,1,8
162,1,6,2,0,1,0,1,0,0.89,20,1,1,21,3,2,1,2,1,1,8
163,0,6,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
171,0,7,1,1,0,0,0,1,3.09,167,1,1,21,3,2,1,2,1,1,8
172,1,7,2,0,1,0,0,1,1.06,57,1,1,21,3,2,1,2,1,1,8
173,0,7,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
181,1,8,1,1,0,1,0,0,0.49,26,1,1,21,3,2,1,2,1,1,8
182,0,8,2,0,1,1,0,0,0.36,20,1,1,21,3,2,1,2,1,1,8
183,0,8,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
191,0,9,1,1,0,0,1,0,3.09,91,1,1,21,3,2,1,2,1,1,8
192,1,9,2,0,1,1,0,0,0.36,57,1,1,21,3,2,1,2,1,1,8
193,0,9,3,0,0,0,0,0,0,0,1,1,21,3,2,1,2,1,1,8
211,0,1,1,1,0,1,0,0,3.09,91,1,1,23,3,2,6,2,1,2,9
212,1,1,2,0,1,0,0,1,0.89,20,1,1,23,3,2,6,2,1,2,9
213,0,1,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
221,0,2,1,1,0,1,0,0,3.09,26,1,1,23,3,2,6,2,1,2,9
222,1,2,2,0,1,0,1,0,0.36,48,1,1,23,3,2,6,2,1,2,9
223,0,2,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
231,0,3,1,1,0,0,0,1,0.49,91,1,1,23,3,2,6,2,1,2,9
232,1,3,2,0,1,0,0,1,0.36,48,1,1,23,3,2,6,2,1,2,9
233,0,3,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
241,0,4,1,1,0,0,0,1,1.68,26,1,1,23,3,2,6,2,1,2,9
242,1,4,2,0,1,0,1,0,0.36,57,1,1,23,3,2,6,2,1,2,9
243,0,4,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
251,0,5,1,1,0,1,1,0,3.09,26,1,1,23,3,2,6,2,1,2,9
252,1,5,2,0,1,0,1,0,1.06,20,1,1,23,3,2,6,2,1,2,9
253,0,5,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
261,0,6,1,1,0,0,0,1,1.68,91,1,1,23,3,2,6,2,1,2,9
262,1,6,2,0,1,1,0,0,1.06,20,1,1,23,3,2,6,2,1,2,9
263,0,6,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
271,0,7,1,1,0,1,0,0,1.68,167,1,1,23,3,2,6,2,1,2,9
272,1,7,2,0,1,1,0,0,0.89,57,1,1,23,3,2,6,2,1,2,9
273,0,7,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
281,1,8,1,1,0,0,1,0,0.49,26,1,1,23,3,2,6,2,1,2,9
282,0,8,2,0,1,0,0,1,0.89,57,1,1,23,3,2,6,2,1,2,9
283,0,8,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
291,0,9,1,1,0,0,1,0,0.49,167,1,1,23,3,2,6,2,1,2,9
292,1,9,2,0,1,1,0,0,1.06,48,1,1,23,3,2,6,2,1,2,9
293,0,9,3,0,0,0,0,0,0,0,1,1,23,3,2,6,2,1,2,9
111,1,1,1,1,0,0,1,0,1.68,91,1,4,48,3,3,2,2,1,3,10
112,0,1,2,0,1,0,1,0,0.89,48,1,4,48,3,3,2,2,1,3,10
113,0,1,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
121,0,2,1,1,0,1,0,0,1.68,26,1,4,48,3,3,2,2,1,3,10
122,1,2,2,0,1,0,0,1,1.06,48,1,4,48,3,3,2,2,1,3,10
123,0,2,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
131,0,3,1,1,0,0,1,0,1.68,167,1,4,48,3,3,2,2,1,3,10
132,1,3,2,0,1,0,0,1,0.36,20,1,4,48,3,3,2,2,1,3,10
133,0,3,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
141,1,4,1,1,0,0,0,1,3.09,26,1,4,48,3,3,2,2,1,3,10
142,0,4,2,0,1,1,0,0,0.89,48,1,4,48,3,3,2,2,1,3,10
143,0,4,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
151,0,5,1,1,0,1,0,0,0.49,91,1,4,48,3,3,2,2,1,3,10
152,1,5,2,0,1,0,1,0,1.06,57,1,4,48,3,3,2,2,1,3,10
153,0,5,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
161,1,6,1,1,0,0,0,1,0.49,167,1,4,48,3,3,2,2,1,3,10
162,0,6,2,0,1,0,1,0,0.89,20,1,4,48,3,3,2,2,1,3,10
163,0,6,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
171,1,7,1,1,0,0,0,1,3.09,167,1,4,48,3,3,2,2,1,3,10
172,0,7,2,0,1,0,0,1,1.06,57,1,4,48,3,3,2,2,1,3,10
173,0,7,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
181,1,8,1,1,0,1,0,0,0.49,26,1,4,48,3,3,2,2,1,3,10
182,0,8,2,0,1,1,0,0,0.36,20,1,4,48,3,3,2,2,1,3,10
183,0,8,3,0,0,0,0,0,0,0,1,4,48,3,3,2,2,1,3,10
191,1,9,1,1,0,0,1,0,3.09,91,1,4,48,3,3,2,2,1,3,10
